Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA63;<437, 5, 200>;False;-10;86;0;8250
EA64;<437, 5, 200>;False;-5;31;15;8250
EA65;<437, 5, 200>;False;-10;86;0;8250
EA66;<437, 5, 200>;False;-10;86;0;8250
EA67;<437, 5, 200>;False;-6;35;15;8250
EA68;<437, 5, 200>;False;-10;85;0;8250
EA69;<437, 5, 200>;False;-4;19;20;8250
EA70;<437, 5, 200>;False;-11;72;20;8250
EA71;<437, 5, 200>;False;-4;18;15;8250
EA72;<437, 5, 200>;False;-10;85;0;8250
EA73;<437, 5, 200>;False;-10;84;0;8250
EA74;<437, 5, 200>;False;-3;11;15;8250
EA75;<437, 5, 200>;True;393;57;345;9709
EA76;<437, 5, 200>;False;-10;85;0;8250
EA77;<437, 5, 200>;False;-10;85;0;8250
EA78;<437, 5, 200>;False;-4;19;15;8250
EA79;<437, 5, 200>;False;-10;61;20;8250
EA80;<437, 5, 200>;False;-10;84;0;8250
EA81;<437, 5, 200>;False;-6;30;20;8250
EA82;<437, 5, 200>;False;-9;59;20;8250
EA83;<437, 5, 200>;False;-4;17;15;8250
EA84;<437, 5, 200>;False;-5;28;15;8250
EA85;<437, 5, 200>;False;-15;28;95;8250
EA86;<437, 5, 200>;False;-10;85;0;8250
EA87;<437, 5, 200>;False;-3;12;15;8250
EA88;<437, 5, 200>;False;-3;12;15;8250
EA89;<437, 5, 200>;False;-7;43;20;8250
EA90;<437, 5, 200>;False;-4;18;15;8250
EA91;<437, 5, 200>;False;-10;85;0;8250
EA92;<437, 5, 200>;False;-14;24;95;8250
EA93;<437, 5, 200>;False;-10;85;0;8250
EA94;<437, 5, 200>;False;-10;86;0;8250
EA95;<437, 5, 200>;False;-10;86;0;8250
EA96;<437, 5, 200>;False;-10;86;0;8250
EA97;<437, 5, 200>;False;-6;32;20;8250
EA98;<437, 5, 200>;False;-10;86;0;8250
EA99;<437, 5, 200>;False;-10;85;0;8250
EA0;<437, 5, 200>;False;-10;86;0;8250
EA1;<437, 5, 200>;False;-10;86;0;8250
EA2;<437, 5, 200>;False;-4;19;15;8250
EA3;<437, 5, 200>;False;-10;86;0;8250
EA4;<437, 5, 200>;False;-4;17;20;8250
EA5;<437, 5, 200>;False;-10;85;0;8250
EA6;<437, 5, 200>;False;-10;86;0;8250
EA7;<437, 5, 200>;False;-10;86;0;8250
EA8;<437, 5, 200>;False;-10;86;0;8250
EA9;<437, 5, 200>;False;-10;86;0;8250
EA10;<437, 5, 200>;False;-10;86;0;8250
EA11;<437, 5, 200>;False;-5;20;20;8250
EA12;<437, 5, 200>;False;-10;85;0;8250
EA13;<437, 5, 200>;False;-4;1;35;8250
EA14;<437, 5, 200>;True;430;62;375;7525
EA15;<437, 5, 200>;False;-8;11;55;8250
EA16;<437, 5, 200>;False;-4;19;20;8250
EA17;<437, 5, 200>;False;-10;85;0;8250
EA18;<437, 5, 200>;False;-6;18;35;8250
EA19;<437, 5, 200>;False;-10;86;0;8250
EA20;<437, 5, 200>;False;-10;86;0;8250
EA21;<437, 5, 200>;False;-10;86;0;8250
