Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
EA158;<3468, 5, 958>;False;1;684;0;0;1;50;2686;97;3114;77;47;3453;52;2696;66;50;1684;95;2732;94;87;65;75;48;1995
EA72;<3468, 5, 958>;False;41;615;80;-40;1;50;3581;66;689;14;95;1538;25;1766;29;53;501;48;3187;79;25;19;70;47;209
EA65;<3468, 5, 958>;False;1;803;0;0;1;50;2423;71;517;8;32;1769;87;3095;97;32;309;29;850;77;67;19;52;52;3953
EA21;<3468, 5, 958>;False;11;676;20;-10;1;50;1155;98;2650;19;56;981;43;552;57;23;3392;45;145;6;35;31;86;56;230
EA19;<3468, 5, 958>;False;1;692;0;0;1;50;915;30;3734;8;60;3964;30;359;60;38;2921;49;105;54;75;11;96;24;3884
EA199;<3468, 5, 958>;False;1;666;0;0;1;50;1201;34;1148;21;64;2993;80;186;42;9;1114;46;3889;99;31;36;49;39;3329
EA174;<3468, 5, 958>;False;1;803;0;0;1;50;2225;87;1040;74;21;354;12;3229;65;9;2811;69;298;52;43;92;87;63;2108
EA160;<3468, 5, 958>;False;1;653;0;0;1;50;2557;14;1713;43;23;943;98;931;27;82;3424;67;2970;87;92;30;14;72;1085
EA153;<3468, 5, 958>;False;1;675;0;0;1;50;2833;98;2468;79;61;812;91;623;54;41;2627;48;1871;73;89;64;90;30;1555
EA73;<3468, 5, 958>;False;1;650;0;0;1;50;3038;37;1917;85;90;3126;17;1977;37;62;1613;58;363;47;53;91;33;95;1008
EA68;<3468, 5, 958>;False;21;682;40;-20;1;50;1243;94;389;58;8;3846;48;1714;79;61;2107;75;2250;14;26;3;16;51;565
